tv_date,channel_id,target_group,ts,num_sessions,weighted_sum
2025-09-07,0,f1229,2025-09-07 01:08:28,1,2.260502742
2025-09-07,0,f1229,2025-09-07 01:11:44,1,0.0
2025-09-07,0,f1229,2025-09-07 01:11:45,1,2.260502742
2025-09-07,0,f1229,2025-09-07 01:12:17,1,0.0
2025-09-07,0,f1229,2025-09-07 01:12:18,1,2.260502742
2025-09-07,0,f1229,2025-09-07 01:12:47,1,0.0
2025-09-07,0,f1229,2025-09-07 01:12:48,1,2.260502742
2025-09-07,0,f1229,2025-09-07 01:15:20,1,0.0
2025-09-07,0,f1229,2025-09-07 01:15:21,1,2.260502742
2025-09-07,0,f1229,2025-09-07 01:15:52,1,0.0
2025-09-07,0,f1229,2025-09-07 01:15:53,1,2.260502742
2025-09-07,0,f1229,2025-09-07 01:16:39,1,0.0
2025-09-07,0,f1229,2025-09-07 07:13:39,1,2.260502742
2025-09-07,0,f1229,2025-09-07 07:13:54,1,0.0
2025-09-07,0,f1229,2025-09-07 07:14:54,1,2.260502742
2025-09-07,0,f1229,2025-09-07 07:14:57,1,0.0
2025-09-07,0,f1229,2025-09-07 07:39:26,1,2.260502742
2025-09-07,0,f1229,2025-09-07 07:39:47,1,0.0
2025-09-07,0,f1229,2025-09-07 08:54:12,1,2.260502742
2025-09-07,0,f1229,2025-09-07 09:38:53,1,0.0
2025-09-07,0,f1229,2025-09-07 09:39:03,1,2.260502742
2025-09-07,0,f1229,2025-09-07 09:42:40,1,0.0
2025-09-07,0,f1229,2025-09-07 09:43:44,1,2.260502742
2025-09-07,0,f1229,2025-09-07 09:56:24,1,0.0
2025-09-07,0,f1229,2025-09-07 09:56:34,1,2.260502742
2025-09-07,0,f1229,2025-09-07 10:00:32,1,0.0
2025-09-07,0,f1229,2025-09-07 10:01:06,1,2.260502742
2025-09-07,0,f1229,2025-09-07 10:49:48,1,0.0
2025-09-07,0,f1229,2025-09-07 10:49:49,1,2.260502742
2025-09-07,0,f1229,2025-09-07 10:52:24,1,0.0
